# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_sly.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.996321e-04 7.168533e+00 3.260591e-01 3.326978e-01 7.498300e+00 5.356793e+05 6.146789e-04 7.724527e+00
 6.010121e-04 7.165933e+00 3.276225e-01 3.343342e-01 7.497300e+00 5.241635e+05 6.161341e-04 7.724357e+00
 6.023953e-04 7.163525e+00 3.291927e-01 3.359781e-01 7.496500e+00 5.129249e+05 6.175930e-04 7.724399e+00
 6.037816e-04 7.161011e+00 3.307697e-01 3.376295e-01 7.495600e+00 5.019107e+05 6.190554e-04 7.724339e+00
 6.051712e-04 7.158589e+00 3.323535e-01 3.392884e-01 7.494800e+00 4.911465e+05 6.205216e-04 7.724386e+00
 6.065639e-04 7.156160e+00 3.339441e-01 3.409548e-01 7.494000e+00 4.806118e+05 6.219914e-04 7.724435e+00
 6.079599e-04 7.153724e+00 3.355415e-01 3.426288e-01 7.493200e+00 4.703017e+05 6.234649e-04 7.724487e+00
 6.093590e-04 7.151381e+00 3.371457e-01 3.443103e-01 7.492500e+00 4.602255e+05 6.249420e-04 7.724647e+00
 6.107614e-04 7.149030e+00 3.387568e-01 3.459994e-01 7.491800e+00 4.503499e+05 6.264229e-04 7.724808e+00
 6.121670e-04 7.146673e+00 3.403747e-01 3.476961e-01 7.491100e+00 4.407123e+05 6.279074e-04 7.724973e+00
 6.135759e-04 7.144408e+00 3.419996e-01 3.494005e-01 7.490500e+00 4.312661e+05 6.293957e-04 7.725245e+00
 6.149879e-04 7.142035e+00 3.436313e-01 3.511125e-01 7.489800e+00 4.220343e+05 6.308876e-04 7.725415e+00
 6.164033e-04 7.139856e+00 3.452699e-01 3.528321e-01 7.489300e+00 4.130117e+05 6.323834e-04 7.725797e+00
 6.178219e-04 7.137569e+00 3.469155e-01 3.545595e-01 7.488700e+00 4.041553e+05 6.338828e-04 7.726077e+00
 6.192437e-04 7.135375e+00 3.485680e-01 3.562946e-01 7.488200e+00 3.955124e+05 6.353861e-04 7.726464e+00
 6.206688e-04 7.133174e+00 3.502275e-01 3.580374e-01 7.487700e+00 3.870531e+05 6.368931e-04 7.726854e+00
 6.220972e-04 7.130965e+00 3.518940e-01 3.597880e-01 7.487200e+00 3.787977e+05 6.384038e-04 7.727247e+00
 6.235289e-04 7.128749e+00 3.535674e-01 3.615464e-01 7.486700e+00 3.706934e+05 6.399184e-04 7.727643e+00
 6.249639e-04 7.126625e+00 3.552479e-01 3.633126e-01 7.486300e+00 3.627729e+05 6.414367e-04 7.728147e+00
 6.264022e-04 7.124494e+00 3.569354e-01 3.650866e-01 7.485900e+00 3.550319e+05 6.429589e-04 7.728653e+00
 6.278438e-04 7.122356e+00 3.586299e-01 3.668685e-01 7.485500e+00 3.474435e+05 6.444849e-04 7.729162e+00
 6.292887e-04 7.120310e+00 3.603315e-01 3.686582e-01 7.485200e+00 3.400383e+05 6.460147e-04 7.729779e+00
 6.307370e-04 7.118257e+00 3.620401e-01 3.704558e-01 7.484900e+00 3.327788e+05 6.475484e-04 7.730399e+00
 6.321886e-04 7.116196e+00 3.637558e-01 3.722613e-01 7.484600e+00 3.256839e+05 6.490859e-04 7.731022e+00
 6.336435e-04 7.114127e+00 3.654786e-01 3.740748e-01 7.484300e+00 3.187390e+05 6.506273e-04 7.731647e+00
 6.351017e-04 7.112152e+00 3.672085e-01 3.758962e-01 7.484100e+00 3.119513e+05 6.521726e-04 7.732381e+00
 6.365634e-04 7.110168e+00 3.689456e-01 3.777255e-01 7.483900e+00 3.052970e+05 6.537217e-04 7.733117e+00
 6.380283e-04 7.108177e+00 3.706897e-01 3.795629e-01 7.483700e+00 2.988033e+05 6.552748e-04 7.733857e+00
